,City Name,Longitude,Latitude,Temperature (f),Humidity,Cloudiness,Wind Speed (mph)
39,Hermanus,19.23,-34.42,57.0,81,100,8.99
40,Vaini,-175.2,-21.2,75.2,73,75,11.41
41,Shangrao,117.97,28.45,54.37,91,45,4.12
42,Konotop,33.2,51.24,39.43,79,17,8.19
43,Cururupu,-44.87,-1.83,77.86,81,80,3.98
44,Palana,159.97,59.12,33.96,90,6,12.19
45,Granadilla de Abona,-16.58,28.12,75.99,88,20,9.17
46,East London,27.91,-33.02,65.55,84,10,4.38
47,San Quintín,-115.95,30.48,76.73,58,0,21.41
48,Micheweni,39.83,-4.97,77.68,83,1,8.55
49,Ilulissat,-51.1,69.22,41.0,56,100,16.11
50,Upernavik,-56.15,72.79,35.29,80,11,16.58
51,Nakamura,132.93,32.98,55.92,86,99,2.84
52,Kirakira,161.92,-10.45,83.21,78,32,9.31
53,Mokrousovo,66.77,55.81,43.74,84,87,6.33
54,Bluff,168.33,-46.6,46.99,87,91,10.0
55,Salinópolis,-47.36,-0.61,81.34,78,33,12.28
56,Luganville,167.17,-15.53,80.6,78,75,2.24
57,Hofn,-15.21,64.25,39.24,72,72,10.94
58,Saint-Joseph,55.62,-21.37,69.8,68,20,3.36
59,Mossendjo,12.73,-2.95,71.02,99,100,4.21
60,Meulaboh,96.13,4.14,76.19,83,87,3.83
61,Monrovia,-10.8,6.3,77.0,94,75,7.23
62,Laurinburg,-79.46,34.77,77.0,57,1,5.82
63,Kaitangata,169.85,-46.28,52.41,51,77,13.47
64,Utraula,82.42,27.32,69.6,54,0,2.98
65,Hambantota,81.12,6.12,77.0,100,40,9.17
66,Clyde River,-68.59,70.47,32.45,97,100,4.23
67,Mnogovershinnyy,139.92,53.94,23.4,86,44,9.51
68,Ishigaki,124.16,24.34,78.8,88,75,21.92
69,Saskylakh,114.08,71.92,21.0,97,89,4.47
70,Aykhal,111.5,66.0,15.8,92,90,4.47
71,Pierre,-100.35,44.37,41.0,56,40,12.75
72,Ulundi,31.42,-28.34,69.06,82,43,1.63
73,Puerto Ayora,-90.35,-0.74,77.0,69,75,5.82
74,Kavieng,150.8,-2.57,83.37,69,70,1.95
75,Norman Wells,-126.83,65.28,21.2,81,7,9.57
76,Zhigansk,123.37,66.77,16.21,96,100,10.27
77,Mattru,-11.83,7.62,74.79,97,83,2.75
78,Mercaderes,-77.17,1.8,70.79,83,88,4.18
79,Yellowknife,-114.35,62.46,28.0,74,87,5.99
80,São Filipe,-24.5,14.9,83.01,65,36,6.08
81,Puerto Suárez,-57.8,-18.95,78.8,83,90,11.41
82,Novoanninskiy,42.67,50.53,46.0,70,96,7.83
83,Bal‘ā,35.11,32.33,75.2,78,53,5.82
84,Hobart,147.33,-42.88,52.0,76,75,9.17
85,Acapulco de Juárez,-99.89,16.86,87.8,70,40,8.05
86,The Valley,-63.06,18.22,84.2,78,20,8.05
87,Torbay,-52.73,47.67,52.0,83,67,1.01
88,Briceni,27.7,48.36,37.0,92,30,4.05
89,Esperance,121.9,-33.87,59.0,100,90,10.29
90,Hilo,-155.09,19.73,84.2,58,20,11.41
91,Touros,-35.46,-5.2,78.8,78,40,9.17
92,Olafsvik,-23.71,64.89,39.25,73,86,9.55
93,Tasiilaq,-37.64,65.61,32.0,92,47,16.11
94,Goderich,-81.72,43.75,48.99,71,100,1.68
95,Nome,-165.41,64.5,37.99,86,90,5.82
96,Arraial do Cabo,-42.03,-22.97,73.4,78,40,21.92
97,Souillac,57.52,-20.52,73.4,73,20,9.17
98,Zyryanka,150.85,65.75,14.29,96,79,6.26
99,Abu Kamal,40.92,34.45,67.69,26,2,3.69
100,Walvis Bay,14.51,-22.96,57.99,82,0,3.36
101,Henties Bay,14.28,-22.12,57.0,88,0,1.99
102,Sitka,-135.33,57.05,44.6,75,75,3.36
103,Moussoro,16.49,13.64,89.69,13,0,6.76
104,Sioux Lookout,-91.92,50.1,33.12,78,98,6.11
105,Tiarei,-149.33,-17.53,84.2,70,75,17.22
106,Manosque,5.79,43.83,52.0,87,88,1.99
107,Hong Kong,114.16,22.29,71.01,68,14,11.01
108,Yangi Marg`ilon,71.72,40.43,51.8,39,0,6.93
109,Necochea,-58.74,-38.55,54.0,59,17,11.01
110,Ust-Nera,143.2,64.57,2.48,83,65,3.02
111,Tsimmerbude,20.13,54.67,41.0,93,75,6.71
112,Akonolinga,12.25,3.77,68.38,96,90,2.35
113,Ledyard Center,-72.01,41.44,60.8,72,20,8.05
114,Provideniya,-173.3,64.38,30.2,80,20,4.47
115,Mar del Plata,-57.56,-38.0,59.0,41,93,14.99
116,Mae Sai,99.88,20.43,68.0,100,75,6.93
117,Tuktoyaktuk,-133.04,69.45,24.8,79,90,5.82
118,Beringovskiy,179.32,63.05,38.3,80,88,10.29
119,Half Moon Bay,-122.43,37.46,79.0,93,90,5.82
120,Kstovo,44.2,56.15,35.6,93,13,8.95
121,Tuatapere,167.68,-46.13,46.99,84,50,14.0
122,Umm Kaddadah,26.69,13.6,85.96,14,26,7.96
123,Teguise,-13.56,29.06,71.6,83,63,3.36
124,Longyearbyen,15.64,78.22,28.4,74,75,10.29
125,Hasaki,140.83,35.73,51.8,100,75,4.7
126,Ancud,-73.82,-41.87,51.8,43,0,9.17
127,Islamkot,70.18,24.7,84.79,66,10,10.6
128,Princeton,-80.41,25.54,82.4,74,90,12.75
129,Wunsiedel,12.02,50.03,39.99,92,58,3.31
130,Conceição do Araguaia,-49.26,-8.26,91.67,31,77,4.52
131,Auki,160.7,-8.77,84.02,71,9,2.84
132,Havelock,-76.9,34.88,71.01,83,75,11.41
133,Okha,142.95,53.57,33.66,86,93,20.49
134,Severo-Kuril'sk,156.12,50.68,40.86,68,69,9.26
135,George Town,100.34,5.41,80.6,88,20,2.24
136,Miraflores,-98.81,19.22,77.0,29,75,9.17
137,Thompson,-97.86,55.74,29.73,90,99,7.78
138,Port Elizabeth,25.57,-33.92,60.8,87,98,16.11
139,Pangody,74.49,65.85,25.18,98,98,6.2
140,Cabo San Lucas,-109.91,22.89,91.4,59,5,11.41
141,Mahébourg,57.7,-20.41,73.4,73,20,9.17
142,Korla,86.15,41.76,45.0,82,0,2.48
143,Bharatpur,77.48,27.22,74.8,20,0,1.48
144,Kailua,-157.74,21.4,81.0,83,75,3.36
145,Ginda,78.49,30.69,54.43,42,0,5.19
146,Severomuysk,113.43,56.15,14.86,97,100,6.44
147,Bijie,105.29,27.31,47.35,92,100,5.39
148,Boa Vista,-60.67,2.82,93.2,44,20,11.41
149,Kutum,24.67,14.2,76.91,18,20,11.97
150,Guymon,-101.48,36.68,55.4,50,1,5.82
151,Nelson Bay,152.15,-32.72,64.4,77,75,4.7
152,Ambajogai,76.38,18.73,72.43,92,79,4.21
153,Longview,-94.74,32.5,89.6,46,20,12.75
154,Rio Grande,-52.1,-32.03,68.81,78,32,9.6
155,Uíge,15.06,-7.61,68.14,94,96,0.65
156,Airai,125.41,-8.93,62.46,57,5,2.21
157,Carnarvon,113.63,-24.87,68.0,72,90,10.29
158,Lebu,-73.65,-37.62,53.35,67,0,12.68
159,Chapais,-74.85,49.78,33.8,80,90,6.93
160,Namatanai,152.43,-3.67,83.17,71,7,2.86
161,Kabompo,24.2,-13.59,66.25,26,0,3.65
162,Tongliao,122.27,43.61,47.32,52,0,10.36
163,Fortuna,-124.16,40.6,62.01,87,40,13.87
164,Constitución,-72.42,-35.33,57.83,62,3,17.2
165,Port Hardy,-127.42,50.7,52.29,80,97,13.56
166,San Juan,-68.54,-31.54,77.14,18,0,18.7
167,Lviv,24.02,49.84,42.8,93,52,2.24
168,Hualmay,-77.61,-11.1,65.84,75,30,10.13
169,Saquena,-73.52,-4.67,87.48,54,100,3.18
170,Broken Hill,141.43,-31.95,59.0,47,50,6.93
171,Evensk,159.23,61.95,35.35,96,95,18.45
172,Zeya,127.27,53.75,26.06,92,76,4.97
173,Qaanaaq,-69.36,77.48,30.09,86,43,8.93
174,Yokadouma,15.05,3.52,70.36,93,67,0.92
175,Guayaramerín,-65.36,-10.84,75.79,89,86,2.48
176,Lethem,-59.8,3.38,87.94,50,88,5.44
177,Garoowe,48.48,8.41,79.07,67,8,6.22
178,Benjamín Aceval,-57.57,-24.97,98.6,29,20,10.29
179,Stavnsholt,12.41,55.81,45.0,92,53,7.02
180,Ahipara,173.17,-35.17,64.22,68,99,10.92
181,Nea Stira,24.2,38.18,61.0,64,0,16.28
182,Chokurdakh,147.92,70.63,15.57,97,93,6.85
183,Nizwá,57.53,22.93,70.61,24,15,2.21
184,Narodychi,29.08,51.2,39.0,81,0,8.08
185,Okhotsk,143.3,59.38,20.75,80,9,23.6
186,Santiago del Estero,-64.26,-27.8,102.63,18,0,8.77
187,Bredasdorp,20.04,-34.53,59.0,58,100,10.29
188,Cam Ranh,109.16,11.92,78.8,94,75,5.82
189,Buraidah,43.98,26.33,64.4,36,0,4.7
190,Kumul,93.45,42.8,44.56,53,4,4.9
191,Iqaluit,-68.51,63.75,30.0,80,85,4.0
192,Fort Nelson,-122.7,58.81,32.86,73,83,2.48
193,Muros,-9.06,42.78,62.01,89,89,8.99
194,Igarka,86.58,67.47,7.93,96,88,3.62
195,Alofi,-169.92,-19.06,78.8,69,75,14.99
196,Pétionville,-72.29,18.51,86.0,66,75,8.05
197,Castro,-50.01,-24.79,64.89,84,11,6.15
198,Klaksvík,-6.59,62.23,39.2,86,17,5.82
199,Coquimbo,-71.34,-29.95,59.0,77,75,11.41
200,Amahai,128.92,-3.33,82.0,92,87,3.18
201,Thunder Bay,-89.32,48.4,36.0,60,98,4.99
202,Oktyabr'skiy,53.47,54.48,41.07,85,52,2.28
203,Tsumeb,17.72,-19.23,69.31,23,0,3.38
204,Jagdīspur,84.42,25.48,73.4,83,57,2.68
205,Birao,22.79,10.28,76.59,57,93,4.43
206,Vao,167.48,-22.67,73.56,77,94,16.51
207,Departamento de Maldonado,-54.92,-34.67,69.01,82,75,17.22
208,Oranjemund,16.43,-28.55,58.01,88,9,12.1
209,Lashio,97.75,22.93,64.51,99,84,1.05
210,Caravelas,-39.25,-17.71,73.69,76,100,5.39
211,Mocuba,36.99,-16.84,68.85,89,0,2.28
212,Ambulu,113.61,-8.35,74.03,89,64,1.95
213,Cherskiy,161.3,68.75,17.96,94,12,3.31
214,Jiutai,125.83,44.15,48.2,66,0,11.18
215,Pontal do Paraná,-48.51,-25.65,66.2,88,75,12.75
216,Presidencia Roque Sáenz Peña,-60.44,-26.79,91.71,40,27,8.63
217,Tadine,167.88,-21.55,72.77,79,63,15.3
218,Tankhoy,105.13,51.55,29.14,89,100,16.2
219,Chui,-53.46,-33.7,69.15,74,0,6.26
220,Dauphin,-100.05,51.15,34.84,70,18,2.33
221,Margate,1.39,51.38,55.0,65,98,5.99
222,Amapá,-52.0,1.0,84.54,45,52,3.13
223,Luzhou,105.44,28.87,58.21,91,100,5.26
224,Nanortalik,-45.24,60.14,36.75,89,97,2.39
225,Lüderitz,15.16,-26.65,59.09,72,0,23.76
226,Huainan,117.0,32.63,54.81,68,47,5.12
227,Aksarka,67.8,66.56,14.0,94,0,3.96
228,Gorontalo,123.06,0.54,75.43,79,85,2.8
229,Ranong,98.63,9.97,77.32,82,53,2.33
230,Wagar,36.2,16.15,81.84,43,0,11.86
231,Wuwei,102.64,37.93,46.0,43,52,9.71
232,Tauá,-40.3,-5.97,85.53,25,71,10.31
233,Baiyin,104.21,36.56,44.01,51,100,4.47
234,Aleppo Governorate,37.5,36.25,65.26,69,59,6.46
235,Havre-St-Pierre,-63.6,50.23,44.91,82,100,2.53
236,Anzio,12.62,41.49,59.0,87,5,3.36
237,Mutsu,141.22,41.29,48.99,93,20,6.93
238,Ginir,40.7,7.13,56.55,80,7,4.27
239,Saint George,-113.58,37.1,88.0,12,1,3.36
240,Bud,-86.18,39.45,52.0,100,90,5.82
241,Haverfordwest,-4.97,51.8,55.4,76,100,16.11
242,Lake Shasta,-122.37,40.68,89.6,17,1,5.82
243,Ariogala,23.47,55.27,39.2,86,60,9.17
244,Ambilobe,49.05,-13.2,73.62,76,22,1.92
245,Bambous Virieux,57.76,-20.34,73.4,73,20,9.17
246,Geraldton,114.6,-28.77,66.2,72,90,9.17
247,Ostrovnoy,39.51,68.05,35.73,82,91,15.95
248,Balaipungut,101.28,1.05,75.2,88,20,1.03
249,Grand Gaube,57.66,-20.01,71.01,76,24,3.0
250,Tortolì,9.66,39.93,59.0,87,40,9.17
251,Thessalon,-83.57,46.25,44.6,56,75,4.29
252,Koróni,21.95,36.8,66.0,87,40,4.83
253,Kiryat Gat,34.76,31.61,73.99,78,20,5.82
254,Rioblanco,-75.68,3.53,68.59,74,100,0.96
255,Tromsø,18.96,69.65,24.8,92,0,6.93
256,Morogoro,37.67,-6.82,71.08,79,33,4.54
257,Jardim,-56.14,-21.48,81.77,61,0,1.95
258,Asău,26.4,46.43,39.2,93,0,2.24
259,Romny,33.47,50.75,38.71,76,6,7.25
260,Oistins,-59.53,13.07,84.2,74,20,8.05
261,Oktyabr'skoye,44.74,43.06,59.0,82,76,11.18
262,Lagoa,-27.98,39.05,63.9,70,37,33.76
263,Codrington,141.97,-38.27,50.23,82,9,3.56
264,Rocky Mountain House,-114.92,52.37,29.23,96,99,2.77
265,Adrar,-10.07,20.5,85.89,17,0,9.37
266,Shingū,135.98,33.73,55.44,73,100,5.37
267,Ballina,153.57,-28.87,71.01,77,90,10.29
268,Homer,-151.55,59.64,41.0,69,98,4.0
269,Altay,88.12,47.87,31.64,75,85,1.39
270,San Patricio,-97.52,28.02,89.6,59,40,18.34
271,Waddān,16.14,29.16,65.23,65,0,11.83
272,Seymchan,152.43,62.88,20.28,95,100,13.0
273,Bandarbeyla,50.81,9.49,77.68,76,0,2.48
274,Thinadhoo,72.93,0.53,82.51,78,100,13.8
275,Pangnirtung,-65.71,66.15,32.0,93,90,2.24
276,Leh,77.58,34.17,35.04,53,0,7.76
277,Alyangula,136.42,-13.85,71.6,100,69,11.18
278,Berlevåg,29.09,70.86,37.4,86,75,12.75
279,Östersund,14.64,63.18,28.4,100,77,3.36
280,Calbuco,-73.13,-41.77,48.2,87,75,5.82
281,Gimli,-96.99,50.63,36.0,98,96,9.75
282,Novopetrovskoye,36.47,55.99,35.6,80,40,15.66
283,Poum,164.02,-20.23,74.68,65,0,7.29
284,Flagstaff,-111.65,35.2,79.0,12,1,12.75
285,Lompoc,-120.46,34.64,71.01,72,1,11.41
286,Mayo,-76.51,38.89,68.0,64,1,6.93
287,Krasnosel'kup,82.47,65.7,20.17,97,100,7.74
288,Mataram,116.12,-8.58,75.2,100,75,4.12
289,Westport,-73.36,41.14,62.6,72,90,6.93
290,Sibiti,13.35,-3.68,71.15,99,100,4.32
291,Avera,-82.53,33.19,77.0,53,1,6.93
292,Muzaffargarh,71.19,30.08,69.8,73,0,1.16
293,Valdivia,-73.25,-39.81,59.0,47,0,11.41
294,Bethel,-73.41,41.37,60.8,72,90,3.36
295,Lanxi,119.48,29.22,57.99,69,1,2.64
296,Roberval,-72.23,48.52,42.17,74,100,6.29
297,Stromness,-3.3,58.97,51.8,93,100,2.24
298,Cayenne,-52.33,4.93,82.4,78,41,4.7
299,Otradnoye,30.82,59.78,37.4,96,90,6.71
300,Pimentel,-79.93,-6.84,64.71,80,12,14.67
301,Flinders,150.86,-34.58,64.0,74,77,1.01
302,Kuminskiy,66.57,58.67,34.75,95,1,5.99
303,Coahuayana Viejo,-103.68,18.73,82.4,74,75,11.41
304,Turukhansk,87.98,65.82,11.07,97,100,3.91
305,Guiyang,106.72,26.58,48.2,81,90,6.71
306,Narsaq,-46.05,60.92,33.8,81,94,2.93
307,Alzamay,98.66,55.56,27.37,90,100,7.07
308,Tal'menka,83.57,53.82,35.6,64,100,11.18
309,Comodoro Rivadavia,-67.5,-45.87,59.0,26,20,16.11
310,Rūdbār,62.6,30.15,53.1,36,0,3.15
311,São Paulo de Olivença,-68.87,-3.38,79.07,86,100,0.85
312,Forsytheganj,29.73,52.63,37.96,80,0,9.1
313,Sobolevo,31.9,54.43,37.22,82,3,13.98
314,Preobrazheniye,133.91,42.9,49.35,68,2,5.17
315,Belmonte,-38.88,-15.86,75.2,73,40,4.7
316,Port Lincoln,135.87,-34.73,57.34,83,100,12.91
317,Vestmannaeyjar,-20.27,63.44,40.98,76,100,6.82
318,North Bend,-124.22,43.41,66.0,72,20,17.22
319,Vermillion,-96.93,42.78,37.4,74,90,10.29
320,Ondjiva,15.73,-17.07,73.47,18,0,1.03
321,Cape Coast,-1.25,5.11,77.58,88,9,10.69
322,Kachīry,76.1,53.07,42.33,60,100,10.94
323,Ponta do Sol,-17.1,32.67,69.8,83,20,9.17
324,Manokwari,134.08,-0.87,81.21,76,100,8.66
325,Pangoa,-73.0,-12.12,80.65,67,99,2.19
326,Lorengau,147.27,-2.02,83.07,70,49,1.68
327,Teya,92.63,60.38,25.7,94,98,7.81
328,Malayal,121.94,7.21,77.0,94,75,4.7
329,Akdepe,59.38,42.06,50.0,31,0,6.93
330,Key West,-81.78,24.56,80.6,94,90,6.93
331,St. George's,-61.75,12.06,86.0,74,20,14.99
332,Brae,-1.35,60.4,46.4,87,100,39.15
333,Fillan,8.97,63.61,33.8,75,20,5.82
334,Qasigiannguit,-51.19,68.82,41.0,56,100,16.11
335,Longyan,117.02,25.11,59.29,88,56,4.07
336,Karratha,116.85,-20.74,64.22,81,0,8.86
337,Ystad,13.82,55.43,39.0,100,22,3.36
338,Betanzos,-8.21,43.28,63.0,93,20,3.36
339,Sistranda,8.83,63.73,33.8,72,20,5.82
340,Nadym,72.52,65.53,26.1,99,90,4.16
341,Atchison,-95.12,39.56,46.0,61,100,8.37
342,Bar Harbor,-68.2,44.39,51.01,87,1,4.0
343,Mount Gambier,140.77,-37.83,44.6,93,90,1.12
344,Ilovlya,43.98,49.3,46.4,87,75,2.24
345,Tuy Hoa,109.3,13.08,75.58,89,100,4.47
346,Gachsaran,50.8,30.36,62.6,39,0,2.42
347,Nekhayevskiy,41.76,50.41,45.0,72,73,1.01
348,Fort Saint James,-124.25,54.43,40.42,79,45,4.07
349,Tulun,100.58,54.56,26.06,88,56,7.09
350,Saint Anthony,-93.22,45.02,34.0,80,90,4.7
351,Vågåmo,9.1,61.88,28.69,89,72,2.59
352,Moindou,165.68,-21.69,78.8,54,0,3.36
353,Tezu,96.17,27.92,71.26,86,86,2.91
354,Buin,-70.75,-33.73,77.0,29,100,6.93
355,Tual,132.75,-5.67,80.55,83,99,13.47
356,Sayhāt,50.04,26.49,73.4,53,0,5.82
357,Tabat,115.23,-2.63,73.45,97,100,2.13
358,La Ronge,-105.28,55.1,28.4,54,90,3.36
359,Glens Falls,-73.64,43.31,57.0,87,90,4.7
360,Pedersore,22.68,63.65,39.0,86,100,3.36
361,Gushikawa,127.87,26.35,77.0,88,40,13.87
362,Okato,173.88,-39.2,53.01,90,99,8.99
363,Dakar,-17.44,14.69,84.2,83,0,10.42
364,Ambon City,128.18,-3.7,75.2,94,40,5.82
365,Pevek,170.31,69.7,24.76,94,0,14.5
366,Sept-Îles,-66.38,50.2,41.0,93,90,4.7
367,Deputatsky,139.9,69.3,9.36,95,100,4.56
368,Gamba,10.0,-2.65,77.13,87,100,7.29
369,Yurino,46.3,56.29,35.6,93,20,8.95
370,Nago,127.98,26.59,77.0,88,40,13.87
371,Amga,131.96,60.9,7.66,93,74,3.33
372,Lata,-8.33,40.16,64.0,93,100,1.01
373,Magistral'nyy,107.45,56.17,24.06,94,90,4.9
374,Vinh,105.67,18.67,64.83,93,100,14.29
375,Bay-Khaak,94.5,51.17,22.62,83,45,5.39
376,Kupang,123.58,-10.17,73.4,73,20,3.36
377,Bahía Blanca,-62.27,-38.72,60.28,36,0,16.33
378,Diffa,12.61,13.32,87.31,13,0,6.29
379,Mogadishu,45.34,2.04,78.89,85,2,11.03
380,Tessalit,1.01,20.2,83.84,15,0,9.91
381,Rawson,-65.1,-43.3,58.06,34,19,11.63
382,Vemalwāda,78.88,18.47,74.62,89,100,3.67
383,Najrān,44.13,17.49,66.2,22,0,2.24
384,Pacific Grove,-121.92,36.62,71.6,68,1,9.17
385,Orlik,99.83,52.52,9.34,84,6,4.16
386,Yuancheng,107.79,36.65,45.55,57,96,3.38
387,Lodwar,35.6,3.12,87.62,37,57,9.91
388,Hervey Bay,152.85,-25.3,71.6,73,75,12.75
389,Guerrero Negro,-114.06,27.98,85.14,40,0,14.43
390,Anadyr,177.48,64.75,35.6,64,76,11.18
391,Labuhan,112.21,-6.88,77.74,81,61,7.65
392,Shimoda,138.95,34.67,61.12,72,100,11.83
393,La Sarre,-79.2,48.8,36.82,80,93,5.5
394,Salaverry,-78.97,-8.23,62.19,86,81,7.05
395,Kainantu,145.87,-6.29,67.03,83,74,1.43
396,Shihezi,86.03,44.3,47.37,47,0,6.53
397,Belfast,-5.93,54.58,52.0,93,100,11.41
398,Tiznit Province,-9.5,29.58,71.35,32,33,3.53
399,Caucaia,-38.65,-3.74,80.6,78,74,10.29
400,Kathu,98.33,7.92,84.0,100,20,2.24
401,Sawākin,37.33,19.11,80.26,68,0,6.91
402,Puerto Escondido,-97.07,15.85,86.0,66,40,5.82
403,Manga,-1.07,11.66,84.27,47,68,6.42
404,Liberal,-100.92,37.04,57.2,44,1,9.17
405,São José da Coroa Grande,-35.15,-8.9,76.17,76,69,10.25
406,Māngrol,70.12,21.12,82.45,80,36,6.87
407,Butiama,33.97,-1.77,66.67,74,27,1.41
408,Derzhavīnsk,66.32,51.1,48.58,74,0,10.92
409,Vega de Alatorre,-96.63,20.03,82.27,70,16,6.02
410,Jiblah,44.15,13.92,59.59,56,0,2.24
411,Qena,32.72,26.16,84.2,32,0,2.24
412,Padang,100.35,-0.95,78.1,69,27,5.06
413,Pesochnoye,39.18,58.01,34.29,91,86,7.29
414,Vila do Maio,-23.22,15.13,82.4,69,100,11.41
415,Arrondissement de Cognac,-0.25,45.5,60.8,67,79,26.4
416,Iquitos,-73.25,-3.75,91.4,59,40,8.05
417,Isangel,169.27,-19.55,77.0,88,75,9.17
418,Coos Bay,-124.22,43.37,66.0,72,20,17.22
419,Kruisfontein,24.73,-34.0,60.01,81,100,13.78
420,Murmashi,32.81,68.82,32.0,98,75,2.24
421,Tigil',158.67,57.8,35.1,86,31,7.78
422,Sur,59.53,22.57,79.92,39,5,10.36
423,Sumenep,113.87,-7.02,79.5,77,84,9.66
424,Shawnee,-95.77,39.05,48.2,49,90,9.17
425,Acarí,-74.62,-15.43,71.13,51,0,7.54
426,Yulara,130.99,-25.24,66.2,88,36,9.17
427,Saldanha,17.94,-33.01,57.2,71,100,3.36
428,Emerald,148.17,-23.53,75.0,56,0,10.29
429,San Isidro,-77.05,-12.12,66.2,72,75,14.99
430,Ābādān,48.3,30.34,66.2,45,0,4.7
431,Yabēlo,38.08,4.88,59.7,90,23,5.59
432,Sortland,15.42,68.69,36.0,79,14,11.41
433,Jumla,82.18,29.27,48.07,59,0,4.9
434,Mahanoro,48.8,-19.9,69.33,87,71,3.83
435,Lexington,-84.48,37.99,63.0,93,75,8.05
436,Ukiah,-123.21,39.15,91.99,17,1,7.02
437,Taltal,-70.48,-25.4,62.73,65,22,7.09
438,Sibu,111.82,2.3,77.0,100,40,3.36
439,Mortka,66.02,59.33,35.01,95,17,7.36
440,Batagay-Alyta,130.41,67.8,13.93,89,100,1.43
441,Tazovsky,78.7,67.47,16.74,97,25,7.07
442,Huarmey,-78.15,-10.07,67.1,73,98,9.66
443,Darhan,105.92,49.49,28.71,88,99,15.19
444,Kota,75.83,25.18,78.44,61,56,1.54
445,Safaga,33.94,26.73,78.8,54,0,6.93
446,Luena,19.92,-11.78,65.8,56,0,1.7
447,Saint-Pierre,55.48,-21.34,69.8,68,20,3.36
448,Scarborough,-0.4,54.28,51.01,84,100,5.99
449,Manoel Urbano,-69.26,-8.84,74.48,93,94,7.16
450,Bauchi,10.0,10.5,76.86,61,16,6.04
451,San Jose,-121.89,37.34,84.0,41,0,1.99
452,Progreso,-89.67,21.28,88.0,66,75,9.17
453,Lakes Entrance,147.98,-37.88,59.0,75,20,3.0
454,Marion,-86.16,39.77,51.8,87,90,9.17
455,Vardø,31.11,70.37,33.8,69,40,11.41
456,Taoudenni,-3.98,22.68,83.35,20,0,12.73
457,Lázaro Cárdenas,-102.2,17.96,85.15,72,74,8.12
458,Agirish,63.02,61.92,28.8,99,97,2.15
459,Smithers,-127.17,54.78,44.17,61,79,1.48
460,Vänersborg,12.32,58.38,32.0,92,98,2.91
461,Usinsk,57.53,65.99,22.59,96,91,6.58
462,Banjar,114.97,-8.19,78.8,100,75,5.82
463,Pangai,-174.35,-19.8,77.0,65,20,11.41
464,Belaya Kholunitsa,50.85,58.84,35.69,95,89,6.08
465,Nālūt,10.85,30.33,59.52,55,0,17.18
466,Sembakung,117.25,3.82,73.62,98,100,1.92
467,Salalah,54.09,17.02,84.2,45,75,3.36
468,Bereda,-7.54,43.27,63.0,89,99,8.99
469,Cockburn Town,-71.14,21.46,84.2,62,40,9.17
470,Verkhnevilyuysk,120.32,63.45,20.46,97,90,7.49
471,Rundu,19.77,-17.93,71.67,21,0,3.44
472,Cabedelo,-34.83,-6.98,77.0,73,100,9.17
473,Manuk Mangkaw,119.85,4.8,81.36,78,100,15.7
474,Daru,143.21,-9.08,80.58,82,99,10.94
475,Talnakh,88.4,69.49,14.0,92,90,6.71
